iter	Passed	Remaining
574	1388	1026
575	1391	1024
576	1393	1021
577	1395	1018
578	1398	1016
579	1400	1013
580	1402	1011
581	1404	1009
582	1407	1006
583	1409	1003
584	1411	1001
585	1414	999
586	1416	996
587	1419	994
588	1421	991
589	1423	989
590	1425	986
591	1428	984
592	1430	981
593	1432	979
594	1435	976
595	1437	974
596	1439	972
597	1442	969
598	1444	967
599	1446	964
600	1448	961
601	1451	959
602	1453	957
603	1456	954
604	1458	952
605	1460	949
606	1462	947
607	1465	944
608	1467	942
609	1470	939
610	1472	937
611	1474	934
612	1476	932
613	1479	929
614	1481	927
615	1483	924
616	1485	922
617	1487	919
618	1490	917
619	1492	914
620	1494	912
621	1497	909
622	1499	907
623	1501	904
624	1503	902
625	1506	900
626	1508	897
627	1510	894
628	1513	892
629	1515	890
630	1517	887
631	1520	885
632	1522	882
633	1525	880
634	1527	878
635	1529	875
636	1532	873
637	1534	870
638	1537	868
639	1540	866
640	1543	864
641	1545	861
642	1547	859
643	1550	856
644	1552	854
645	1554	851
646	1556	849
647	1559	846
648	1561	844
649	1563	841
650	1565	839
651	1568	836
652	1570	834
653	1572	831
654	1575	829
655	1577	827
656	1579	824
657	1581	822
658	1583	819
659	1586	817
660	1588	814
661	1590	812
662	1592	809
663	1595	807
664	1597	804
665	1599	802
666	1601	799
667	1604	797
668	1608	795
669	1610	793
670	1613	790
671	1615	788
672	1617	785
673	1619	783
674	1622	781
675	1624	778
676	1626	776
677	1629	773
678	1631	771
679	1633	768
680	1635	766
681	1638	763
682	1640	761
683	1642	758
684	1644	756
685	1646	753
686	1649	751
687	1651	748
688	1653	746
689	1656	744
690	1658	741
691	1660	739
692	1663	736
693	1665	734
694	1667	731
695	1669	729
696	1672	726
697	1674	724
698	1676	721
699	1678	719
700	1681	717
701	1683	714
702	1685	712
703	1687	709
704	1690	707
705	1692	704
706	1694	702
707	1696	699
708	1699	697
709	1701	694
710	1703	692
711	1705	690
712	1708	687
713	1710	685
714	1712	682
715	1714	680
716	1717	677
717	1719	675
718	1721	672
719	1723	670
720	1726	667
721	1728	665
722	1730	663
723	1732	660
724	1735	658
725	1737	655
726	1739	653
727	1741	650
728	1744	648
729	1746	645
730	1748	643
731	1751	641
732	1753	638
733	1755	636
734	1758	633
735	1760	631
736	1762	628
737	1764	626
738	1766	624
739	1769	621
740	1771	619
741	1773	616
742	1776	614
743	1778	611
744	1780	609
745	1782	606
746	1785	604
747	1787	602
748	1789	599
749	1792	597
750	1794	594
751	1796	592
752	1798	590
753	1800	587
754	1803	585
755	1805	582
756	1807	580
757	1810	577
758	1812	575
759	1814	572
760	1816	570
761	1819	568
762	1821	565
763	1823	563
764	1826	560
765	1828	558
766	1830	556
767	1832	553
768	1834	551
769	1836	548
770	1839	546
771	1841	543
772	1843	541
773	1846	539
774	1848	536
775	1850	534
776	1853	531
777	1855	529
778	1857	527
779	1859	524
780	1862	522
781	1864	519
782	1866	517
783	1868	514
784	1871	512
785	1873	510
786	1875	507
787	1877	505
788	1880	502
789	1882	500
790	1884	498
791	1887	495
792	1889	493
793	1891	490
794	1893	488
795	1896	485
796	1898	483
797	1900	481
798	1902	478
799	1904	476
800	1907	473
801	1909	471
802	1911	468
803	1913	466
804	1916	464
805	1918	461
806	1920	459
807	1923	456
808	1925	454
809	1927	452
810	1929	449
811	1932	447
812	1934	444
813	1936	442
814	1939	440
815	1941	437
816	1943	435
817	1945	432
818	1947	430
819	1949	428
820	1952	425
821	1954	423
822	1956	420
823	1958	418
824	1961	416
825	1963	413
